"Double Disadvantage",5.5125,3.867601808614739,1,20
#,%
1,14.2625
2,12.8375
3,11.4875
4,10.2125
5,9.0125
6,7.8875
7,6.8375
8,5.8625
9,4.9625
10,4.1375
11,3.3875
12,2.7125
13,2.1125
14,1.5875
15,1.1375
16,0.7625
17,0.4625
18,0.2375
19,0.0875
20,0.0125

"Disadvantage",7.175,4.711090638058241,1,20
#,%
1,9.75
2,9.25
3,8.75
4,8.25
5,7.75
6,7.25
7,6.75
8,6.25
9,5.75
10,5.25
11,4.75
12,4.25
13,3.75
14,3.25
15,2.75
16,2.25
17,1.75
18,1.25
19,0.75
20,0.25

"Normal",10.5,5.766281297335398,1,20
#,%
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5

"Advantage",13.825,4.7110906380582405,1,20
#,%
1,0.25
2,0.75
3,1.25
4,1.75
5,2.25
6,2.75
7,3.25
8,3.75
9,4.25
10,4.75
11,5.25
12,5.75
13,6.25
14,6.75
15,7.25
16,7.75
17,8.25
18,8.75
19,9.25
20,9.75

"Double Advantage",15.4875,3.867601808614739,1,20
#,%
1,0.0125
2,0.0875
3,0.2375
4,0.4625
5,0.7625
6,1.1375
7,1.5875
8,2.1125
9,2.7125
10,3.3875
11,4.1375
12,4.9625
13,5.8625
14,6.8375
15,7.8875
16,9.0125
17,10.2125
18,11.4875
19,12.8375
20,14.2625

